Approach,Generation,Replication,Genomic Relatedness
ECV Selection,0,1,-0.020091627
ECV Selection,1,1,0.1097981
ECV Selection,2,1,0.20543446
ECV Selection,3,1,0.196635757
ECV Selection,0,2,-0.012772231
ECV Selection,1,2,0.018516985
ECV Selection,2,2,0.183627589
ECV Selection,3,2,0.203846848
ECV Selection,0,3,0.01062447
ECV Selection,1,3,0.097812953
ECV Selection,2,3,0.169438571
ECV Selection,3,3,0.228955148
ECV Selection,0,4,-0.020045127
ECV Selection,1,4,0.126214063
ECV Selection,2,4,0.137499284
ECV Selection,3,4,0.212621047
ECV Selection,0,5,0.030340326
ECV Selection,1,5,0.121001626
ECV Selection,2,5,0.179024248
ECV Selection,3,5,0.146399055
ECV Selection,0,6,-0.001775347
ECV Selection,1,6,0.061549827
ECV Selection,2,6,0.192071278
ECV Selection,3,6,0.228350608
ECV Selection,0,7,0.001109447
ECV Selection,1,7,0.1013393
ECV Selection,2,7,0.171385446
ECV Selection,3,7,0.191087838
ECV Selection,0,8,-0.007704273
ECV Selection,1,8,0.113601364
ECV Selection,2,8,0.191848134
ECV Selection,3,8,0.189143461
ECV Selection,0,9,0.02332205
ECV Selection,1,9,0.036752614
ECV Selection,2,9,0.177623926
ECV Selection,3,9,0.184994932
ECV Selection,0,10,0.018365716
ECV Selection,1,10,0.151658459
ECV Selection,2,10,0.172494188
ECV Selection,3,10,0.212820039
ECV Selection,0,11,0.011122743
ECV Selection,1,11,0.123112137
ECV Selection,2,11,0.216493413
ECV Selection,3,11,0.199350209
ECV Selection,0,12,0.012501433
ECV Selection,1,12,0.006562245
ECV Selection,2,12,0.109134973
ECV Selection,3,12,0.216597502
ECV Selection,0,13,-0.015400594
ECV Selection,1,13,0.017590752
ECV Selection,2,13,0.175358869
ECV Selection,3,13,0.222787649
ECV Selection,0,14,0.001880475
ECV Selection,1,14,0.167015558
ECV Selection,2,14,0.213773262
ECV Selection,3,14,0.221094568
ECV Selection,0,15,-0.01840115
ECV Selection,1,15,0.089562382
ECV Selection,2,15,0.185162962
ECV Selection,3,15,0.219918893
ECV Selection,0,16,0.030764889
ECV Selection,1,16,0.066347563
ECV Selection,2,16,0.188563581
ECV Selection,3,16,0.222086353
ECV Selection,0,17,-0.01362921
ECV Selection,1,17,0.175589298
ECV Selection,2,17,0.188671818
ECV Selection,3,17,0.231006781
ECV Selection,0,18,-0.001583761
ECV Selection,1,18,0.127235198
ECV Selection,2,18,0.129929179
ECV Selection,3,18,0.197455377
ECV Selection,0,19,-0.009029099
ECV Selection,1,19,0.036961695
ECV Selection,2,19,0.146476235
ECV Selection,3,19,0.18735154
ECV Selection,0,20,-0.006507519
ECV Selection,1,20,0.104689422
ECV Selection,2,20,0.175605984
ECV Selection,3,20,0.235239127
ECV Selection,0,21,0.006985936
ECV Selection,1,21,0.143026814
ECV Selection,2,21,0.191260349
ECV Selection,3,21,0.215963133
ECV Selection,0,22,-0.027446075
ECV Selection,1,22,0.070588262
ECV Selection,2,22,0.171139431
ECV Selection,3,22,0.22502203
ECV Selection,0,23,-0.03553749
ECV Selection,1,23,0.156158828
ECV Selection,2,23,0.134465423
ECV Selection,3,23,0.229247343
ECV Selection,0,24,-0.000186871
ECV Selection,1,24,0.13611301
ECV Selection,2,24,0.196860718
ECV Selection,3,24,0.158875959
ECV Selection,0,25,0.021910997
ECV Selection,1,25,0.145134428
ECV Selection,2,25,0.235540076
ECV Selection,3,25,0.230105478
ECV Selection,0,26,-0.009316987
ECV Selection,1,26,0.146279367
ECV Selection,2,26,0.186574867
ECV Selection,3,26,0.212494107
ECV Selection,0,27,0.022031286
ECV Selection,1,27,0.030456726
ECV Selection,2,27,0.110873082
ECV Selection,3,27,0.196616299
ECV Selection,0,28,0.018020876
ECV Selection,1,28,0.03625213
ECV Selection,2,28,0.214836234
ECV Selection,3,28,0.208470255
ECV Selection,0,29,-0.006567285
ECV Selection,1,29,0.112322543
ECV Selection,2,29,0.177132595
ECV Selection,3,29,0.204721079
ECV Selection,0,30,-0.001393351
ECV Selection,1,30,0.136879218
ECV Selection,2,30,0.210644808
ECV Selection,3,30,0.205724568
Phenotypic Selection,0,1,-0.022225564
Phenotypic Selection,1,1,0.220472051
Phenotypic Selection,2,1,0.289184793
Phenotypic Selection,3,1,0.413789332
Phenotypic Selection,0,2,0.01799906
Phenotypic Selection,1,2,0.06942296
Phenotypic Selection,2,2,0.163699918
Phenotypic Selection,3,2,0.320780662
Phenotypic Selection,0,3,0.011675958
Phenotypic Selection,1,3,0.020962043
Phenotypic Selection,2,3,0.104136546
Phenotypic Selection,3,3,0.483940594
Phenotypic Selection,0,4,0.005551421
Phenotypic Selection,1,4,0.018658613
