Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,1,0.49932,4.72875364,-0.020091627082318167
ECV Selection,1,1,0.53888,5.53766898,0.109798100133718
ECV Selection,2,1,0.6091,5.9217212,0.20543446015810707
ECV Selection,3,1,0.5633,6.0748226,0.19663575716207296
ECV Selection,4,1,0.5559999999999999,6.2541626,-
ECV Selection,0,2,0.49871999999999994,4.81966785,-0.01277223115322383
ECV Selection,1,2,0.511,4.89297256,0.018516984764521075
ECV Selection,2,2,0.466,4.6053604,0.18362758909644478
ECV Selection,3,2,0.54,5.5763494,0.20384684839518108
ECV Selection,4,2,0.5193,4.7966104,-
ECV Selection,0,3,0.49877000000000005,5.06434046,0.010624470392232906
ECV Selection,1,3,0.52772,5.60488964,0.09781295254296993
ECV Selection,2,3,0.5521499999999999,5.7290731,0.1694385707766609
ECV Selection,3,3,0.5353,5.8118478,0.22895514761742689
ECV Selection,4,3,0.5302,5.2927084,-
ECV Selection,0,4,0.5002449999999999,5.13942612,-0.02004512723481271
ECV Selection,1,4,0.5194799999999999,5.11449446,0.12621406342623592
ECV Selection,2,4,0.56865,5.7909055,0.13749928352420865
ECV Selection,3,4,0.5823,5.5954318,0.21262104688693167
ECV Selection,4,4,0.5700000000000001,5.9128032,-
ECV Selection,0,5,0.500525,5.11215181,0.030340325980137493
ECV Selection,1,5,0.47077,4.73095778,0.12100162570528786
ECV Selection,2,5,0.5046999999999999,4.824566,0.17902424814865736
ECV Selection,3,5,0.5684,5.3502686,0.14639905462915087
ECV Selection,4,5,0.523,5.5275602,-
ECV Selection,0,6,0.49898499999999996,4.89664403,-0.0017753470683218764
ECV Selection,1,6,0.49117,4.75528416,0.06154982726678552
ECV Selection,2,6,0.4327,4.5143267,0.1920712782773612
ECV Selection,3,6,0.4152,4.7340158,0.22835060804436455
ECV Selection,4,6,0.399,4.0991998,-
ECV Selection,0,7,0.50047,4.60889924,0.0011094469715443346
ECV Selection,1,7,0.56771,5.80794224,0.10133929972364641
ECV Selection,2,7,0.54115,5.0686717,0.1713854462431236
ECV Selection,3,7,0.5779,5.8275826,0.19108783785398528
ECV Selection,4,7,0.5328,5.6789952,-
ECV Selection,0,8,0.49922000000000005,5.57284099,-0.0077042725741864725
ECV Selection,1,8,0.51347,5.36932376,0.11360136417628836
ECV Selection,2,8,0.47395,5.0053475,0.1918481338024569
ECV Selection,3,8,0.3933,3.9807466,0.1891434607587062
ECV Selection,4,8,0.43710000000000004,3.7449012,-
ECV Selection,0,9,0.50093,5.35739213,0.0233220504223467
ECV Selection,1,9,0.48085000000000006,4.57919372,0.03675261392764085
ECV Selection,2,9,0.51685,4.9589917,0.1776239258795584
ECV Selection,3,9,0.5277999999999999,5.77839,0.1849949317468011
ECV Selection,4,9,0.515,4.8787384,-
ECV Selection,0,10,0.500725,5.26044103,0.0183657156707725
ECV Selection,1,10,0.6286400000000001,6.23150616,0.1516584591131632
ECV Selection,2,10,0.635,6.4542161,0.17249418831972016
ECV Selection,3,10,0.595,5.5108242,0.21282003854898018
ECV Selection,4,10,0.5906,5.9065908,-
ECV Selection,0,11,0.50222,5.27919798,0.011122743174888945
ECV Selection,1,11,0.54274,5.24408652,0.12311213679548008
ECV Selection,2,11,0.47865,4.2891943,0.21649341283261458
ECV Selection,3,11,0.4626,4.3748844,0.19935020901554917
ECV Selection,4,11,0.42089999999999994,4.208653,-
ECV Selection,0,12,0.50048,4.77769184,0.012501432792157718
ECV Selection,1,12,0.4965,5.2962296,0.006562244913582672
ECV Selection,2,12,0.5442,5.6464927,0.10913497331948405
ECV Selection,3,12,0.5753,5.7593666,0.2165975015537383
ECV Selection,4,12,0.6088,5.9841032,-
ECV Selection,0,13,0.49907,4.64163328,-0.015400594164187027
ECV Selection,1,13,0.47557,4.57296982,0.01759075249679935
ECV Selection,2,13,0.5299,5.5036093,0.17535886850090332
ECV Selection,3,13,0.5323,5.4981986,0.22278764871902623
ECV Selection,4,13,0.5175,5.0612174,-
ECV Selection,0,14,0.50302,5.11300686,0.0018804750692291551
ECV Selection,1,14,0.52138,4.99934914,0.16701555837614798
ECV Selection,2,14,0.51255,5.1774927,0.21377326158654034
ECV Selection,3,14,0.4617,4.8448686,0.22109456807542227
ECV Selection,4,14,0.45410000000000006,4.8711334,-
ECV Selection,0,15,0.500095,5.45158213,-0.018401149767935096
ECV Selection,1,15,0.51158,5.43555734,0.08956238177791946
ECV Selection,2,15,0.53815,4.6631722,0.18516296169355395
ECV Selection,3,15,0.553,5.5055828,0.21991889294725295
ECV Selection,4,15,0.5193,5.4610514,-
ECV Selection,0,16,0.502145,4.5094455,0.030764888983090693
ECV Selection,1,16,0.48605,5.13468748,0.06634756333677529
ECV Selection,2,16,0.46769999999999995,5.0429171,0.18856358059745304
ECV Selection,3,16,0.39980000000000004,3.9971604,0.22208635326106343
ECV Selection,4,16,0.41159999999999997,4.0688762,-
ECV Selection,0,17,0.499875,4.97243613,-0.013629209781046956
ECV Selection,1,17,0.40103,4.0248301,0.1755892976431912
ECV Selection,2,17,0.31025,3.0616522,0.18867181777386943
ECV Selection,3,17,0.3693,3.7338806,0.23100678054876722
ECV Selection,4,17,0.39849999999999997,4.3392436,-
ECV Selection,0,18,0.499915,5.17081674,-0.0015837614318465329
ECV Selection,1,18,0.50951,5.13331598,0.12723519811201886
ECV Selection,2,18,0.5812999999999999,5.3816893,0.12992917905331805
ECV Selection,3,18,0.6409,6.0683092,0.19745537711376415
ECV Selection,4,18,0.6203000000000001,5.818697,-
ECV Selection,0,19,0.502985,4.71266589,-0.009029099208937174
ECV Selection,1,19,0.51978,5.14429492,0.03696169503087502
ECV Selection,2,19,0.59505,4.9987773,0.14647623521102504
ECV Selection,3,19,0.5940000000000001,6.0363728,0.18735153964078588
ECV Selection,4,19,0.5584,5.3410434,-
ECV Selection,0,20,0.500475,5.04248694,-0.006507518745329781
ECV Selection,1,20,0.47198,4.90527336,0.10468942153706437
ECV Selection,2,20,0.46485000000000004,3.9785469,0.1756059842062262
ECV Selection,3,20,0.5015,5.1069214,0.2352391270696388
ECV Selection,4,20,0.5067999999999999,5.5826618,-
ECV Selection,0,21,0.501015,4.8876125,0.006985936131368924
ECV Selection,1,21,0.47518000000000005,4.08300746,0.14302681375003942
ECV Selection,2,21,0.40564999999999996,3.7886321,0.19126034912494558
ECV Selection,3,21,0.39940000000000003,4.2263486,0.21596313283626106
ECV Selection,4,21,0.4024,3.9922916,-
ECV Selection,0,22,0.500175,5.53693535,-0.02744607495501206
ECV Selection,1,22,0.5652999999999999,5.75861218,0.07058826238590535
ECV Selection,2,22,0.6204500000000001,6.3188605,0.1711394306345009
ECV Selection,3,22,0.5876,5.7446026,0.22502203048046246
ECV Selection,4,22,0.5815,5.5811286,-
ECV Selection,0,23,0.50141,4.41657058,-0.03553748965389813
ECV Selection,1,23,0.51832,4.45352394,0.1561588275527653
ECV Selection,2,23,0.5261,5.6632468,0.13446542273719356
ECV Selection,3,23,0.5005,4.6996278,0.22924734287107368
ECV Selection,4,23,0.4779,4.6508066,-
ECV Selection,0,24,0.49984,5.0840622,-0.00018687111345888155
ECV Selection,1,24,0.46826,4.40893306,0.13611301022758587
ECV Selection,2,24,0.40325,4.0497111,0.19686071836322713
ECV Selection,3,24,0.3879,3.5851478,0.1588759587264694
ECV Selection,4,24,0.3941,4.3754106,-
ECV Selection,0,25,0.49934500000000004,5.24395849,0.021910996975821013
