Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,1,0.5002221428571428,32.19230639,-0.027135788613071234
ECV Selection,1,1,0.5498585714285714,33.71585314,0.07228950638429923
ECV Selection,2,1,0.6257428571428572,44.4603707,0.12785482939852927
ECV Selection,3,1,0.6679428571428572,45.786842,0.15532539999902356
ECV Selection,4,1,0.7163285714285714,47.637292,-
ECV Selection,0,2,0.5001099999999999,37.35959097,-0.007689471523979711
ECV Selection,1,2,0.5436599999999999,43.87468386,0.07025331808683594
ECV Selection,2,2,0.6124499999999999,45.3770802,0.17018526005213988
ECV Selection,3,2,0.6763142857142856,48.4886752,0.15015433103132944
ECV Selection,4,2,0.7101142857142857,56.6606116,-
ECV Selection,0,3,0.4994242857142857,39.55160628,-0.019298752466254662
ECV Selection,1,3,0.5519471428571429,35.2830544,0.0886342714260508
ECV Selection,2,3,0.6155285714285714,40.6703438,0.15262230133154492
ECV Selection,3,3,0.6686,49.1943248,0.19104841168444262
ECV Selection,4,3,0.7148714285714285,47.5787296,-
ECV Selection,0,4,0.49909285714285717,37.60140905,0.0202486017919079
ECV Selection,1,4,0.5488171428571429,36.79976262,0.06939950678379722
ECV Selection,2,4,0.6121785714285715,38.6495498,0.1508736050765197
ECV Selection,3,4,0.6598857142857143,47.603497,0.16722932589490083
ECV Selection,4,4,0.7016,52.2738064,-
ECV Selection,0,5,0.5002771428571429,37.51568032,-0.012930524891564743
ECV Selection,1,5,0.5558228571428572,34.44452778,0.04027719847059138
ECV Selection,2,5,0.6193285714285715,47.6564756,0.1675586159206257
ECV Selection,3,5,0.6817428571428572,44.037582,0.17071929470606126
ECV Selection,4,5,0.7270714285714286,54.9603748,-
ECV Selection,0,6,0.5009235714285715,38.80836134,-0.016534495936958802
ECV Selection,1,6,0.5668142857142857,42.17716362,0.12916867475938115
ECV Selection,2,6,0.6359428571428571,44.9107715,0.19676527340576597
ECV Selection,3,6,0.6793142857142858,47.0883578,0.19120465562014602
ECV Selection,4,6,0.7026142857142857,43.9089612,-
ECV Selection,0,7,0.5005535714285715,34.66571073,-0.009162899044735823
ECV Selection,1,7,0.5446785714285713,39.91454004,0.05037252597131077
ECV Selection,2,7,0.6120000000000001,41.6226194,0.1034686445318651
ECV Selection,3,7,0.6600428571428572,45.252712,0.20665672517427358
ECV Selection,4,7,0.6933999999999999,47.1053882,-
ECV Selection,0,8,0.49969142857142856,38.46991224,-0.01626473166207423
ECV Selection,1,8,0.5485557142857143,42.70184572,0.0347284871835838
ECV Selection,2,8,0.6183642857142857,37.9283985,0.044673223609700656
ECV Selection,3,8,0.6875142857142856,47.9903454,0.03542188451453372
ECV Selection,4,8,0.7250142857142857,56.5124502,-
ECV Selection,0,9,0.5000885714285714,30.4593081,-0.008903110847009498
ECV Selection,1,9,0.5479,39.02330198,-0.002023409180037623
ECV Selection,2,9,0.6265499999999999,41.9011772,0.16322213700930646
ECV Selection,3,9,0.6796428571428572,47.1131416,0.19916508217351445
