Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,0,1,0.5001975,20.4959197,-0.020091627082318167
ECV Selection,1,1,0.69184,26.03014924,0.109798100133718
ECV Selection,2,1,0.8034375,31.1582953,0.20543446015810707
ECV Selection,3,1,0.88885,33.6434834,0.19663575716207296
ECV Selection,4,1,0.9515499999999999,35.816658,-
ECV Selection,0,2,0.50013625,19.8385472,-0.01277223115322383
ECV Selection,1,2,0.70402,26.76390356,0.018516984764521075
ECV Selection,2,2,0.815475,28.4806907,0.18362758909644478
ECV Selection,3,2,0.9121499999999999,31.820717600000002,0.20384684839518108
ECV Selection,4,2,0.9459250000000001,32.3988138,-
ECV Selection,0,3,0.4998425,20.64303263,0.010624470392232906
ECV Selection,1,3,0.686305,26.00754762,0.09781295254296993
ECV Selection,2,3,0.8019624999999999,29.6850063,0.1694385707766609
ECV Selection,3,3,0.8937250000000001,35.438519,0.22895514761742689
ECV Selection,4,3,0.949475,36.0441548,-
ECV Selection,0,4,0.5006225,19.43836596,-0.02004512723481271
ECV Selection,1,4,0.68933,25.10441408,0.12621406342623592
ECV Selection,2,4,0.8125625,25.1857454,0.13749928352420865
ECV Selection,3,4,0.8946249999999999,31.8969112,0.21262104688693167
ECV Selection,4,4,0.959975,36.0808416,-
ECV Selection,0,5,0.49934,17.40715663,0.030340325980137493
ECV Selection,1,5,0.6783125,25.68375232,0.12100162570528786
ECV Selection,2,5,0.7996875,28.2927118,0.17902424814865736
ECV Selection,3,5,0.896125,30.0647294,0.14639905462915087
ECV Selection,4,5,0.9601000000000001,34.6151938,-
ECV Selection,0,6,0.49896375,21.89404802,-0.0017753470683218764
ECV Selection,1,6,0.686985,24.1980484,0.06154982726678552
ECV Selection,2,6,0.8163750000000001,30.4213166,0.1920712782773612
ECV Selection,3,6,0.915525,35.2572498,0.22835060804436455
ECV Selection,4,6,0.9692500000000001,35.0640362,-
ECV Selection,0,7,0.4997025,18.07332794,0.0011094469715443346
ECV Selection,1,7,0.67982,27.23138614,0.10133929972364641
